UNITID,Pop_Code,Total_Pop,Fully_online,Partially_Online,No_online,Population,Year
107327,1,1461,681,328,452,All Students,2024
107327,2,1461,681,328,452,Undergrad,2024
107327,3,756,225,286,245,,2024
107327,11,705,456,42,207,,2024
107442,1,39,,,39,All Students,2024
107442,2,39,,,39,Undergrad,2024
107442,3,39,,,39,,2024
107460,1,2089,577,767,745,All Students,2024
107460,2,2089,577,767,745,Undergrad,2024
107460,3,1202,265,557,380,,2024
107460,11,887,312,210,365,,2024
107488,1,206,,,206,All Students,2024
107488,2,206,,,206,Undergrad,2024
107488,3,206,,,206,,2024
107512,1,1858,49,396,1413,All Students,2024
107512,2,1729,13,303,1413,Undergrad,2024
107512,3,1602,12,302,1288,,2024
107512,11,127,1,1,125,,2024
107512,12,129,36,93,0,Graduate,2024
107521,1,1983,157,179,1647,All Students,2024
107521,2,1983,157,179,1647,Undergrad,2024
107521,3,550,62,157,331,,2024
107521,11,1433,95,22,1316,,2024
107549,1,1069,431,323,315,All Students,2024
107549,2,1069,431,323,315,Undergrad,2024
107549,3,575,200,246,129,,2024
107549,11,494,231,77,186,,2024
107558,1,778,4,27,747,All Students,2024
107558,2,778,4,27,747,Undergrad,2024
107558,3,767,4,27,736,,2024
107558,11,11,0,0,11,,2024
107585,1,2248,276,712,1260,All Students,2024
107585,2,2248,276,712,1260,Undergrad,2024
107585,3,1447,197,595,655,,2024
107585,11,801,79,117,605,,2024
107600,1,780,27,497,256,All Students,2024
107600,2,755,27,497,231,Undergrad,2024
107600,3,751,27,497,227,,2024
107600,11,4,0,0,4,,2024
107600,12,25,0,0,25,Graduate,2024
107619,1,1199,155,291,753,All Students,2024
107619,2,1199,155,291,753,Undergrad,2024
107619,3,614,125,250,239,,2024
107619,11,585,30,41,514,,2024
107637,1,916,344,159,413,All Students,2024
107637,2,916,344,159,413,Undergrad,2024
107637,3,851,344,156,351,,2024
107637,11,65,0,3,62,,2024
107655,1,42,,,42,All Students,2024
107655,2,42,,,42,Undergrad,2024
107655,3,42,,,42,,2024
107664,1,4478,2107,1252,1119,All Students,2024
107664,2,4478,2107,1252,1119,Undergrad,2024
107664,3,4118,1984,1237,897,,2024
107664,11,360,123,15,222,,2024
107725,1,1305,321,240,744,All Students,2024
107725,2,1305,321,240,744,Undergrad,2024
107725,3,583,153,140,290,,2024
107725,11,722,168,100,454,,2024
107743,1,786,166,376,244,All Students,2024
107743,2,786,166,376,244,Undergrad,2024
107743,3,503,74,298,131,,2024
107743,11,283,92,78,113,,2024
107789,1,99,,,99,All Students,2024
107789,2,99,,,99,Undergrad,2024
107789,3,99,,,99,,2024
107831,1,54,,,54,All Students,2024
107831,2,54,,,54,Undergrad,2024
107831,3,54,,,54,,2024
107840,1,287,200,87,0,All Students,2024
107840,2,287,200,87,0,Undergrad,2024
107840,3,287,200,87,0,,2024
107877,1,517,22,223,272,All Students,2024
107877,2,495,0,223,272,Undergrad,2024
107877,3,478,0,223,255,,2024
107877,11,17,0,0,17,,2024
107877,12,22,22,0,0,Graduate,2024
107974,1,1207,371,367,469,All Students,2024
107974,2,1207,371,367,469,Undergrad,2024
107974,3,862,345,331,186,,2024
107974,11,345,26,36,283,,2024
107983,1,4732,1483,2438,811,All Students,2024
107983,2,3084,548,1748,788,Undergrad,2024
107983,3,2708,365,1704,639,,2024
107983,11,376,183,44,149,,2024
107983,12,1648,935,690,23,Graduate,2024
107992,1,991,299,261,431,All Students,2024
107992,2,991,299,261,431,Undergrad,2024
107992,3,672,299,215,158,,2024
107992,11,319,0,46,273,,2024
